Filename,Method,Violated API,Violation Pattern,Missing condition,Support,Balanced,SpecialFlg, SortingSupport, MID
QueryPlanCache.java,buildNativeSQLParameterMetadata,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
ReadWriteCache.java,isPuttable,"java.util.Comparator,compare(java.lang.Object,java.lang.Object)","java.util.Comparator,compare(MULTICURRTYPES,MULTICURRTYPES)#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.Comparator,compare(MULTICURRTYPES,MULTICURRTYPES)#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.9523809552192688,0,0,0.9523809552192688,999
PersistentList.java,needsUpdating,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
PersistentList.java,needsUpdating,"java.util.List,get(int)","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(0)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7186761498451233,0,2,0.7186761498451233,1841
PersistentBag.java,equalsSnapshot,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
AbstractQueryImpl.java,setParameterList,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.9750603437423706,0,2,0.9750603437423706,640
PersistentList.java,equalsSnapshot,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
PersistentIndexedElementHolder.java,getSnapshot,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
BulkOperationCleanupAction.java,BulkOperationCleanupAction,"java.util.ArrayList,size()","java.util.ArrayList,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.ArrayList,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.8148148059844971,0,2,0.8148148059844971,2906
FromClause.java,hasCollectionFecthes,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
SelectClause.java,initializeDerivedSelectClause,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
GUIDGenerator.java,generate,"java.sql.ResultSet,getString(int)","java.sql.ResultSet,next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.sql.ResultSet,next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.8799999952316284,0,2,0.8799999952316284,8998
