subject,Jung,OpenJGraph,JGrapht,Grappa
0.21,1.760374428,1.593692641,1.489896102,1.113282753
0.430676558,2.113282753,1.593692641,1.8294828,0.682606194
0.682606194,2.070415071,2.047818583,0.861353116,1
0.861353116,2.092218534,1.795888947,0.861353116,1.113282753
1,1.489896102,1.430676558,0.430676558,0.21
1.113282753,2.133656215,1.760374428,1.593692641,1.292029674
1.209061955,2.070415071,1.292029674,0.682606194,0
1.292029674,1.92057266,0.861353116,1.682606194,0.21
1.365212389,1.113282753,1.543959311,1,0.21
1.430676558,1.593692641,1.92057266,0.682606194,0.682606194
1.489896102,1.543959311,0.861353116,0.430676558,1.489896102
1.543959311,1.489896102,0.861353116,0.682606194,0.430676558
1.593692641,1.639738513,0.682606194,0,0.21
1.639738513,1.8294828,1,0.682606194,0.430676558
1.682606194,1.489896102,0.682606194,0.682606194,0.430676558
1.722706232,1.593692641,0.861353116,0.682606194,0.682606194
1.760374428,1.292029674,0.861353116,0,0.21
1.795888947,1.365212389,0.430676558,0,0.430676558
1.8294828,1,0.21,0.682606194,0.21
1.861353116,1.543959311,1,0.21,0
1.89166815,1.795888947,0.682606194,0.861353116,0.21
1.92057266,1.489896102,0.861353116,0.21,0.21
1.948192093,0.430676558,0,0.21,0.682606194
1.974635869,1.543959311,1.292029674,0,0.21
2,1.113282753,0.21,0.21,0
2.024369199,1.365212389,0.682606194,0.21,0.21
2.047818583,1.543959311,0,0,0
2.070415071,1.543959311,0,0,0.21
2.092218534,0.861353116,0.21,0.21,0.21
2.113282753,2.113282753,0,0.430676558,0.430676558
2.133656215,0.430676558,0.861353116,0,0.430676558
2.15338279,1,0.430676558,0.430676558,0
2.172502297,1.113282753,0.21,0.21,0
2.191050986,1.113282753,0,0,0
2.209061955,1.543959311,0.21,0.21,0.21
2.226565505,0.861353116,0.21,0,0.430676558
2.243589445,0.861353116,0.21,0,0
2.260159359,1.292029674,0,0,0
2.276298836,1.430676558,0,0,0
2.292029674,1,0.21,0.21,0.21
2.307372057,0.682606194,0,0,0
2.322344708,1.365212389,0,0,0
2.336965028,0.430676558,0,0,0
2.351249219,0.861353116,0.21,0,0
