$$ Transaction 0 $$
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForMINTHRESHOLD] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForMAXTHRESHOLD] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [hashCode] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbActivate] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [ejbActivate] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbLoad] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [hydrate] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [ejbLoad] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/StoreItem] [-init-] [Average Execution Time:0.01172] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getID] [Average Execution Time:0.00391] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [getID] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getInventoryID] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getInventoryID] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getName] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getName] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getName] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getHeading] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getHeading] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getHeading] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getDescription] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getDescription] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getDescription] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getPkginfo] [Average Execution Time:0.00391] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getPkginfo] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getPkginfo] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getImage] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getImage] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getImage] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getPrice] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getPrice] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getPrice] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getCost] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getCost] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getCost] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getCategory] [Average Execution Time:0.00391] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getCategory] [Average Execution Time:0.00391] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getCategory] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getQuantity] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getQuantity] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getQuantity] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getNotes] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getNotes] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getNotes] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [isPublic] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [isPublic] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getIsPublic] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getIsPublic] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [extractPrimaryKey] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [-init-] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [extractData] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [createDataCacheEntry] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [-init-] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForINVENTORYID] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForNAME] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForHEADING] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForDESCRIPTION] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForPKGINFO] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMAGE] [Average Execution Time:0] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMGBYTES] [Average Execution Time:0] 
